"","lon","lat","pH","EC","GWC","per_clay","per_sand","per_silt","Al","As","B","Ca","Cd","Co","Cr","Cu","Fe","K","Mg","Mn","Mo","Na","Ni","P","S","Ti","Zn","per_som","PerN","PerC","CNRatio","Ele"
"WS-24-4",-94.23530278,36.0656848,5.69,105.6,0.191210638,13.394325,15,71.605675,50,0.021,4.39,212,0.003,0.04,0.02,0.084,44.1,7.08,7.13,2.27,0,12.5,0.091,0.576,1,0.06,0.219,2.675,0.221477255,2.296527386,10.36913395,375.151
"WS-2-4",-94.23414689,36.06600079,6.46,105.5,0.321508241,20.28695,22.375,57.33805,44.7,0.003,4.54,165,0.003,0.018,0.01,0.104,29.9,3.44,7.31,2.88,0.001,9.63,0.094,0.736,1,0.032,0.212,3.055,0.204341695,2.224017382,10.88381577,375.32397
"WS-25-1",-94.2351796,36.06587414,5.55,188.4,0.242418865,18.208875,16.25,65.541125,41.1,0.013,3.66,208,0.003,0.029,0.016,0.141,28.7,7.11,13.5,1.8,0,16.9,0.072,0.544,2.41,0.032,0.19,3.72,0.22768344,2.350053787,10.32158375,375.062
"WS-25-2",-94.23521385,36.06582317,6.11,174.8,0.259153883,18.47635,16.25,65.27365,35,0.012,3.81,223,0.003,0.027,0.013,0.146,30.4,5.83,11.1,2.49,0,15.7,0.066,0.57,1.2,0.068,0.167,4.1875,0.238695666,2.633438349,11.03261948,375.06802
"WS-25-3",-94.23511268,36.06577043,5.37,141.8,0.250423719,20.9042,14.25,64.8458,33.1,0.015,4.2,150,0.004,0.037,0.013,0.098,40.1,4.67,9.02,3.86,0,17.4,0.089,1.1,2.06,0.053,0.22,4.11,0.230886564,2.477483749,10.73030758,375.16098
"WS-25-4",-94.23517408,36.06575645,5.38,202,0.269626412,19.073025,16.875,64.051975,38.1,0.018,4.32,188,0.003,0.032,0.017,0.119,42.7,6.95,12.2,2.35,0,17.6,0.083,0.79,4.51,0.056,0.21,4.7575,0.234731168,2.668331146,11.36760521,375.127
"WS-25-5",-94.23513261,36.0657061,5.56,95.7,0.186746411,21.542025,15.125,63.332975,31.8,0.021,4.35,167,0.004,0.032,0.017,0.099,42.6,5.57,7.54,3.04,0,14.1,0.085,1.05,1.34,0.072,0.257,3.275,0.226107523,2.44766736,10.82523632,375.099
"WS-2-5",-94.23403395,36.06602229,5.76,62.4,0.333777701,16.99495,13.125,69.88005,50.6,0,4.44,160,0.003,0.028,0.018,0.102,38.2,4.18,8.93,2.96,0.002,12,0.09,0.453,0.853,0.041,0.169,3.2825,0.189385518,2.229762793,11.77367115,375.094
"WS-26-1",-94.23503702,36.0657091,5.44,9.6,0.278271011,6.316525,20.125,73.558475,42,0.01,4.48,194,0.003,0.046,0.02,0.071,47.2,8.07,11.6,3.36,0,15.7,0.077,0.903,1.52,0.062,0.221,3.13,0.235564113,2.513164043,10.66870499,375.23596
"WS-26-2",-94.235,36.0657,6.38,127.6,0.136922775,6.193075,18,75.806925,48.2,0.01,4.17,195,0.003,0.056,0.02,0.27,39.8,5.46,14.9,3.58,0.001,16.2,0.091,0.46,3.14,0.042,0.164,2.4575,0.175081432,1.866624236,10.66146278,375.093
